ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
MRK,Keytruda KN-048,Phase 3,met,Phase 3 met,True,2018-07-25,large,-0.0004996733478169849,0.3336553464355286,0.0358858189900888,0.18847294662526726,0.2962754016122633,0.05120379820346632,0.07465112651859362
MRK,Keytruda KN-062,Phase 3,miss,Phase 3 miss,False,2019-04-25,large,0.0017344672653818363,0.2279057894959856,0.03025117690480461,-0.007525340079823861,-0.13070722189518458,-0.015841375889927845,-0.025634651085508886
MRK,Keytruda KN-119,Phase 3,miss,Phase 3 miss,False,2019-05-20,large,0.0012522905056541328,0.2095721958070844,0.03703521759337369,0.1854853990677594,0.06915319311567125,0.0032500693480754794,-0.0067198633283528375
MRK,Keytruda KN-240,Phase 3,miss,Phase 3 miss,False,2019-02-19,large,0.0019183338156512698,0.1918517768919442,0.001345052216513265,0.05046635748348516,-0.10403418731550362,0.05611499582001622,0.012951437359865592
MRK,Keytruda KN-522,Phase 3,met,Phase 3 met,True,2019-07-29,large,0.0012909135798153347,0.21589100421411342,0.009523346493066631,-0.012206770512216192,-0.10435397753604747,0.04251865307745195,0.032975612633616036
MRK,Keytruda KN-604,Phase 3,miss,Phase 3 miss,False,2020-01-06,large,0.0012002341623244513,0.17638320659017173,-0.032651354805784405,-0.0805383403554416,-0.1437184372496253,-0.0012274397869798115,-0.014868519384122814
MRK,Lynparza,Phase 3,met,Phase 3 met,True,2017-02-17,large,-0.0004627090265680823,0.29107638563152405,-0.002642781993009047,0.06481451990603193,0.07751817127879068,0.02602071098813563,0.009307574972145849
MRK,Lynparza,Phase 3,met,Phase 3 met,True,2017-06-04,large,-0.0010067044051964595,0.19702598515030403,-0.019994954743377313,0.014505123746313187,0.06340698283721236,0.007825967256366084,0.02032720000577659
MRK,Lynparza,Phase 3,met,Phase 3 met,True,2019-08-07,large,0.001486645604279369,0.2086310914402027,0.0048530614815753825,-0.01636743423446141,-0.12502007419650407,0.016701252225727492,0.0027297849807645935
MRK,Lynparza (POLO),Phase 3,met,Phase 3 met,True,2019-02-26,large,0.001814230397740529,0.2070167139638128,-0.0033914693079406533,0.10767139170388873,-0.04969677904480352,0.053921702131974225,0.004968526269016449
MRK,Lynparza + Avastin- PAOLA-1,Phase 3,met,Phase 3 met,True,2019-08-14,large,0.001718711368940076,0.2196911363796015,-0.009728594507544819,0.037860830766583975,-0.09984107117505459,0.0437133990981593,0.02458749024333806
MRK,Lynparza - SOLO 1,Phase 3,met,Phase 3 met,True,2018-06-27,large,-0.00046688833058752187,0.2979991379422913,0.001499346035112259,0.22186847878902838,0.252937625084525,-0.00518324991954866,-3.344559431939231e-05
MRK,Lynparza - SOLO 1,Phase 3,met,Phase 3 met,True,2018-10-21,large,0.001859234028819047,0.18974213347913058,-0.00038447373658823114,0.03632795996665861,-0.08814509032942752,0.005912908259054994,0.003476829332966336
MRK,MK-8931 (017) - Verubecestat,Phase 3,miss,Phase 3 miss,False,2017-02-14,large,-0.0007597226930056895,0.31091792855713035,0.009761999434837021,0.030643860117880894,0.06712662840924688,0.06283557185862154,0.047557554933629786
MRK,MK-8931 (019) - Verubecestat,Phase 3,miss,Phase 3 miss,False,2018-02-13,large,0.0003432145864311015,0.10591585089743073,0.01414107623751848,0.018031022505733407,-0.01481511323626028,-0.11487931283208697,-0.11384106201437239
MRK,Vericiguat,Phase 3,met,Phase 3 met,True,2019-11-18,large,0.002108043117403142,0.25926306643446406,-0.015054712233519618,-0.019182565236364857,-0.22525776054788238,0.008947393637408707,-0.04843921566210985
MRK,ZERBAXA(ceftolozane and tazobactam),Phase 3,met,Phase 3 met,True,2018-09-11,large,0.0010898416807279315,0.30451551620471246,0.017877007043479498,0.1750585257360131,0.12762184978907842,0.02694786863823273,0.011770953795218642
NBIX,Elagolix,Phase 3,met,Phase 3 met,True,2015-01-08,small,0.0007571997869378073,1.1331695976536804,0.31236908091133064,1.2514496905862145,0.6492459648986366,0.32067329653475896,0.2900233824488261
NBIX,Elagolix,Phase 3,met,Phase 3 met,True,2016-02-10,small,0.0019338518968004372,1.1883457784750933,0.029950152018867637,-0.04372190616494409,-0.056514270041785886,-0.22212733006550145,-0.1550537026487835
NBIX,Elagolix,Phase 3,met,Phase 3 met,True,2018-03-13,small,0.000809466838882853,0.9911282135651402,0.0028862556341195944,0.27484865351962595,0.06401018273088188,0.014096288592537531,0.011609983853597683
NBIX,INGREZZA,Phase 2,miss,Phase 2 miss,False,2017-01-18,small,-0.0016162863279554828,1.087462355721328,0.036505123823805,0.18353851174276214,0.23116093787172942,0.036692458422511454,0.0009483657441864413
NBIX,INGREZZA - T-Force GOLD,Phase 2,miss,Phase 2 miss,False,2017-05-23,small,-0.0016457792098048716,1.2856240757001316,-0.08103298969317652,0.016994999784879505,0.008793818792266261,-0.1585365592508663,-0.12676563601352275
NBIX,INGREZZA - T-Force GOLD,Phase 2,miss,Phase 2 miss,False,2018-12-12,small,0.002120401591924884,0.8332982361533312,-0.15110834242786564,-0.19941185411434414,-0.3968491577896769,-0.21794868925527777,-0.17064030044212863
NCNA,NUC-1031 (Acelarin),Phase 3,miss,Phase 3 miss,False,2019-08-20,small,-0.0023547528775475102,0.6503241524193588,-0.1226281154176615,-0.3204188481675396,-0.17068546918757976,-0.13666666666666694,-0.09035341455682255
NERV,MIN-117,Phase 2,miss,Phase 2 miss,False,2019-12-18,small,-0.00031760062996290657,0.567018897971901,-0.202889216490856,-0.04296870998223301,0.1393117203140486,0.10063891606539022,0.08112120018042068
NERV,MIN-202 (seltorexant),Phase 2,met,Phase 2 met,True,2019-06-24,small,-0.002066267888131207,0.85389529032467,0.2455831950144256,0.629126250088772,0.9176632151907707,0.1420000076293948,0.10772604385762996
NKTR,Cipro DPI,Phase 3,miss,Phase 3 miss,False,2017-04-05,small,-0.00279119670162938,0.8031684853838709,-0.10932251959204042,0.36746146959477555,0.5806787691817459,-0.1653688269824407,-0.12240981524477068
NKTR,Inhaled Amikacin Solution (BAY41-6551T),Phase 3,miss,Phase 3 miss,False,2017-11-24,small,-0.0003232116997304602,1.2477542215154798,0.11672200398255406,2.7256931333047922,2.3154835972921286,0.7603959858876499,0.7543587800623932
NKTR,NKTR-181,Phase 3,met,Phase 3 met,True,2017-03-20,small,-0.0015100229389935311,0.8088940800415474,0.5362688390817476,0.4167951228928164,0.5088785702716885,0.5969945467201738,0.665550125711649
NTRP,Bryostatin,Phase 3,miss,Phase 3 miss,False,2017-05-01,small,-0.00882711416267798,-0.13792490711759123,-8.18519266398976e-05,-0.32187500000000013,0.4514019269203211,-0.04659498207885282,0.09747424047941577
NTRP,Bryostatin,Phase 2,miss,Phase 2 miss,False,2019-09-09,small,-0.003155749524617061,0.37163209465603275,0.08807413338724279,0.35999999999999943,0.6996085592299623,0.0904903865184401,0.13512606112284486
NVAX,RSV vaccine - prepare trial,Phase 3,miss,Phase 3 miss,False,2019-02-28,small,0.004159591130826424,1.4057360707345699,-0.693332807606428,-0.8685779766145051,-0.906522883283236,-0.7488584431140228,-0.7677794247702326
NVO,Semaglutide - oral - PIONEER,Phase 3,met,Phase 3 met,True,2018-11-23,large,0.0004378550595842145,0.33636895163920505,0.001392071596979294,0.17476678829039516,0.06521138493753242,0.046699468846062686,0.052577945590786435
NVS,ACZ885 (canakinumab),Phase 3,met,Phase 3 met,True,2017-06-22,large,0.0008551229091315835,0.2680703347586283,0.026842808906319737,0.047865952744972295,-0.0767572799375894,0.0365673782753928,-0.005383015253980994
